2014,1,32
2014,2,28
2014,3,71
2014,4,66
2014,5,69
2014,6,66
2014,7,65
2014,8,72
2014,9,130
2014,10,78
2014,11,151
2014,12,141
2015,1,29
2015,2,36
2015,3,79
2015,4,72
2015,5,74
2015,6,68
2015,7,66
2015,8,68
2015,9,140
2015,10,87
2015,11,158
2015,12,161
2016,1,48
2016,2,45
2016,3,86
2016,4,89
2016,5,108
2016,6,97
2016,7,96
2016,8,90
2016,9,192
2016,10,105
2016,11,183
2016,12,176
2017,1,69
2017,2,53
2017,3,118
2017,4,116
2017,5,118
2017,6,133
2017,7,111
2017,8,111
2017,9,226
2017,10,147
2017,11,261
2017,12,224
